ParticipantNo: 21007
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_07
!!1_dsp1_07
0.02:  132.7,10.91,268.1084,
0.03:  132.7,10.91,268.1084,
0.05:  132.7,10.91,268.1084,box 10,4
0.07:  132.7,10.91,268.1084,box 10,4
0.08:  132.7,10.91,268.1084,box 10,4
0.1:  132.7,10.91,268.1084,box 10,4
0.12:  132.7,10.91,268.1084,box 10,4
0.13:  132.7,10.91,268.1084,box 10,4
0.15:  132.7,10.91,268.1084,box 10,4
0.17:  132.7,10.91,268.1084,box 10,4
0.18:  132.7,10.91,268.1084,box 10,4
0.2:  132.7,10.91,268.1084,box 10,4
0.22:  132.7,10.91,268.1084,box 10,4
0.23:  132.7,10.91,268.1084,box 10,4
0.25:  132.7,10.91,268.1084,box 10,4
0.27:  132.7,10.91,268.1084,box 10,4
0.28:  132.7,10.91,268.1084,box 10,4
0.3:  132.7,10.91,268.1084,box 10,4
0.32:  132.7,10.91,268.1084,box 10,4
0.33:  132.7,10.91,268.1084,box 10,4
0.35:  132.7,10.91,268.1084,box 10,4
0.37:  132.7,10.91,268.1084,box 10,4
0.38:  132.7,10.91,268.1084,box 10,4
0.4:  132.7,10.91,268.1084,box 10,4
0.42:  132.7,10.91,268.1084,box 10,4
0.43:  132.7,10.91,268.1084,box 10,4
0.45:  132.7,10.91,268.1084,box 10,4
0.47:  132.7,10.91,268.1084,box 10,4
0.48:  132.7,10.91,268.1084,box 10,4
0.5:  132.7,10.91,268.1084,box 10,4
0.52:  132.7,10.91,268.1084,box 10,4
0.53:  132.7,10.91,268.1084,box 10,4
0.55:  132.7,10.91,268.1084,box 10,4
0.57:  132.7,10.91,268.1084,box 10,4
0.58:  132.7,10.91,268.1084,box 10,4
0.6:  132.7,10.91,268.1084,box 10,4
0.62:  132.7,10.91,268.1084,box 10,4
0.63:  132.7,10.91,268.1084,box 10,4
0.65:  132.7,10.91,268.1084,box 10,4
0.67:  132.7,10.91,268.1084,box 10,4
0.68:  132.7,10.91,268.1084,box 10,4
0.7:  132.7,10.91,268.1084,box 10,4
0.72:  132.7,10.91,268.1084,box 10,4
0.73:  132.7,10.91,268.1084,box 10,4
0.75:  132.7,10.91,268.1084,box 10,4
0.77:  132.7,10.91,268.1084,box 10,4
0.78:  132.7,10.91,268.1084,box 10,4
0.8:  132.7,10.91,268.1084,box 10,4
0.82:  132.7,10.91,268.1084,box 10,4
0.83:  132.7,10.91,268.1084,box 10,4
0.85:  132.7,10.91,268.1084,box 10,4
0.87:  132.7,10.91,268.1084,box 10,4
0.88:  132.7,10.91,268.1084,box 10,4
0.9:  132.7,10.91,268.1084,box 10,4
0.92:  132.7,10.91,268.1084,box 10,4
0.93:  132.7,10.91,268.1084,box 10,4
0.95:  132.7,10.91,268.1084,box 10,4
0.97:  132.7,10.91,268.1084,box 10,4
0.98:  132.7,10.91,268.1084,box 10,4
1:  132.7,10.91,268.1084,box 10,4
1.02:  132.7,10.91,268.1084,box 10,4
1.03:  132.7,10.91,268.1084,box 10,4
1.05:  132.7,10.91,268.1084,box 10,4
1.07:  132.7,10.91,268.1084,box 10,4
1.08:  132.7,10.91,268.1084,box 10,4
1.1:  132.7,10.91,268.1084,box 10,4
1.12:  132.7,10.91,268.1084,box 10,4
1.13:  132.7,10.91,268.1084,box 10,4
1.15:  132.7,10.91,268.1084,box 10,4
1.17:  132.7,10.91,268.1084,box 10,4
1.18:  132.7,10.91,268.1084,box 10,4
1.2:  132.7,10.91,268.1084,box 10,4
1.22:  132.7,10.91,268.1084,box 10,4
1.23:  132.7,10.91,268.1084,box 10,4
1.25:  132.7,10.91,268.1084,box 10,4
1.27:  132.7,10.91,268.1084,box 10,4
1.28:  132.7,10.91,268.1084,box 10,4
1.3:  132.7,10.91,268.1084,box 10,4
1.32:  132.7,10.91,268.1084,box 10,4
1.33:  132.7,10.91,268.1084,box 10,4
1.35:  132.7,10.91,268.1084,box 10,4
1.37:  132.7,10.91,268.1084,box 10,4
1.38:  132.7,10.91,268.1084,box 10,4
1.4:  132.7,10.91,268.1084,box 10,4
1.42:  132.7,10.91,268.1084,box 10,4
1.43:  132.7,10.91,268.1084,box 10,4
1.45:  132.7,10.91,268.1084,box 10,4
1.47:  132.7,10.91,268.1084,box 10,4
1.48:  132.7,10.91,268.1084,box 10,4
1.5:  132.7,10.91,268.1084,box 10,4
1.52:  132.7,10.91,268.1084,box 10,4
1.53:  132.7,10.91,268.1084,box 10,4
1.55:  132.7,10.91,268.1084,box 10,4
1.57:  132.7,10.91,268.1084,box 10,4
1.58:  132.7,10.91,268.1084,box 10,4
1.6:  132.7,10.91,268.1084,box 10,4
1.62:  132.7,10.91,268.1084,box 10,4
1.63:  132.7,10.91,268.1084,box 10,4
